epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.759,2.44227,6.1346,2.22588,0.00119,0.30882,0.09256,0.03793,1.7499,3.73367,1.37074,0.00035725,0.00035725,0.00035725
2,33.3958,1.87331,4.11334,1.73397,0.9874,0.12485,0.28986,0.12848,1.7462,3.44667,1.56776,0.000726385,0.000726385,0.000726385
3,44.1886,1.83705,3.49526,1.70744,1,0.11297,0.30613,0.14028,1.75157,3.30615,1.79155,0.00109307,0.00109307,0.00109307
4,54.4,1.74601,2.99143,1.63544,0.75939,0.14053,0.22545,0.09712,1.99909,3.02154,2.03435,0.00141485,0.00141485,0.00141485
5,64.7748,1.69631,2.82082,1.57579,0.52961,0.26471,0.20534,0.07296,2.43019,4.14645,2.52435,0.00141014,0.00141014,0.00141014
6,75.0384,1.69797,2.48099,1.57862,0.50717,0.42612,0.48137,0.23218,1.89616,4.1392,2.02984,0.00140542,0.00140542,0.00140542
7,85.2522,1.74009,2.27262,1.59878,0.44898,0.42913,0.42926,0.162,2.1278,2.11472,2.05973,0.00140071,0.00140071,0.00140071
8,95.1166,1.69891,2.12557,1.61128,0.77781,0.44199,0.47449,0.20238,1.97916,1.71098,1.96563,0.00139599,0.00139599,0.00139599
9,105.158,1.61607,1.95815,1.5062,0.58866,0.4904,0.54137,0.28617,1.58922,1.47522,1.66496,0.00139127,0.00139127,0.00139127
10,115.591,1.54793,1.74005,1.47104,0.62904,0.52022,0.53866,0.26767,1.79589,1.5386,1.8283,0.00138656,0.00138656,0.00138656
11,125.561,1.58527,1.62205,1.48614,0.65076,0.54696,0.53718,0.2871,1.66569,1.31247,1.74692,0.00138184,0.00138184,0.00138184
12,135.814,1.52673,1.48492,1.47339,0.72635,0.48633,0.55488,0.27587,1.67069,1.57044,1.78869,0.00137713,0.00137713,0.00137713
13,146.174,1.51151,1.40763,1.45072,0.82192,0.54795,0.59947,0.31515,1.62749,1.67481,1.70631,0.00137241,0.00137241,0.00137241
14,156.561,1.5138,1.33201,1.4573,0.70528,0.54494,0.59827,0.29895,1.72708,1.2978,1.80838,0.0013677,0.0013677,0.0013677
15,167.204,1.5197,1.32298,1.47457,0.57195,0.54883,0.54292,0.29365,1.64604,1.25806,1.72143,0.00136298,0.00136298,0.00136298
16,178.155,1.51649,1.32842,1.49226,0.59537,0.561,0.5276,0.29256,1.60952,1.24523,1.68879,0.00135826,0.00135826,0.00135826
17,189.018,1.52145,1.2566,1.45468,0.63558,0.6297,0.61401,0.30817,1.73345,1.15234,1.77265,0.00135355,0.00135355,0.00135355
18,199.648,1.46237,1.16844,1.40434,0.61975,0.59407,0.60716,0.33479,1.59607,1.1119,1.68539,0.00134883,0.00134883,0.00134883
19,210.407,1.44419,1.19024,1.42437,0.61274,0.64706,0.61199,0.31601,1.65507,1.13111,1.72724,0.00134412,0.00134412,0.00134412
20,220.616,1.43459,1.14487,1.41172,0.51943,0.60052,0.53821,0.24463,1.9327,1.32221,2.018,0.0013394,0.0013394,0.0013394
21,230.675,1.4289,1.13864,1.40932,0.55407,0.65314,0.61296,0.30028,1.6416,1.13922,1.74588,0.00133469,0.00133469,0.00133469
22,241.435,1.41947,1.08607,1.3663,0.50631,0.61219,0.56526,0.31915,1.58649,1.20261,1.70779,0.00132997,0.00132997,0.00132997
