epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6452,2.47035,4.9863,2.17044,0.00104,0.26961,0.01621,0.00553,2.64189,3.69041,2.23246,0.08628,0.00028,0.00028
2,23.1444,2.00232,2.71583,1.77539,0.1875,0.04412,0.11986,0.05021,2.47697,4.10424,2.02946,0.0715781,0.000578086,0.000578086
3,30.6791,1.90844,2.04114,1.66474,0.04765,0.22794,0.11044,0.03635,2.5837,3.88277,2.29907,0.0568742,0.000874192,0.000874192
4,37.6782,1.80169,1.76457,1.54665,0.01725,0.34559,0.06675,0.03337,2.21687,3.64,2.01841,0.0421683,0.00116832,0.00116832
5,44.5606,1.75135,1.68574,1.49177,0.94522,0.12468,0.25653,0.10886,2.10053,2.91239,1.93323,0.0274605,0.00146046,0.00146046
6,51.7777,1.74375,1.63604,1.46972,0.91252,0.27941,0.3815,0.18013,2.12615,2.18598,1.97138,0.0127506,0.00175063,0.00175063
7,58.6365,1.74192,1.5866,1.49291,0.56826,0.30978,0.249,0.10727,2.19837,2.19594,2.07988,0.0019604,0.0019604,0.0019604
8,65.5237,1.72848,1.51625,1.53143,0.66803,0.25158,0.27076,0.12187,2.13828,2.35579,2.04663,0.0019538,0.0019538,0.0019538
9,72.3496,1.67411,1.41099,1.4645,0.44063,0.33292,0.34649,0.15612,1.95806,3.15317,1.83605,0.0019472,0.0019472,0.0019472
10,79.1592,1.66727,1.4053,1.45377,0.41625,0.51144,0.48326,0.22893,2.0144,4.13302,1.93866,0.0019406,0.0019406,0.0019406
11,85.9043,1.65214,1.3428,1.44247,0.4621,0.47978,0.40249,0.14025,2.28646,3.63974,2.10806,0.001934,0.001934,0.001934
12,92.6504,1.7007,1.4863,1.44369,0.46899,0.41267,0.41151,0.17103,2.20182,2.13563,2.05288,0.0019274,0.0019274,0.0019274
13,99.4149,1.60634,1.26961,1.42148,0.57105,0.51996,0.51326,0.23121,1.96035,1.78524,1.77843,0.0019208,0.0019208,0.0019208
14,106.233,1.53625,1.19321,1.36258,0.59968,0.52247,0.48314,0.21932,1.88472,1.59747,1.71815,0.0019142,0.0019142,0.0019142
15,112.968,1.53431,1.22222,1.34952,0.55041,0.45168,0.528,0.27118,1.86007,1.52447,1.72692,0.0019076,0.0019076,0.0019076
16,119.736,1.49501,1.13642,1.33115,0.48664,0.45237,0.43657,0.21087,1.88938,1.62387,1.75606,0.001901,0.001901,0.001901
17,126.451,1.58686,1.25401,1.36333,0.85984,0.46676,0.54055,0.2577,1.79763,1.4628,1.6663,0.0018944,0.0018944,0.0018944
18,133.23,1.58579,1.18581,1.38684,0.58101,0.5817,0.56691,0.30635,1.66691,1.46576,1.5543,0.0018878,0.0018878,0.0018878
19,139.989,1.53205,1.08921,1.35237,0.65661,0.50858,0.54417,0.31255,1.62589,1.42739,1.49462,0.0018812,0.0018812,0.0018812
20,146.815,1.47523,1.06813,1.3136,0.6121,0.51572,0.53775,0.23181,2.01697,1.49514,1.79901,0.0018746,0.0018746,0.0018746
21,153.566,1.50178,1.15029,1.34641,0.5677,0.55629,0.51288,0.22161,1.91512,1.56907,1.76072,0.001868,0.001868,0.001868
22,160.398,1.47456,1.09164,1.31443,0.59307,0.4087,0.38379,0.1713,1.9827,1.76356,1.79926,0.0018614,0.0018614,0.0018614
23,167.119,1.43418,1.00601,1.27105,0.51982,0.56638,0.42669,0.20603,1.86366,2.00312,1.72492,0.0018548,0.0018548,0.0018548
24,173.857,1.44277,1.06442,1.30819,0.70222,0.4857,0.47243,0.19747,2.04558,1.61383,1.88606,0.0018482,0.0018482,0.0018482
25,180.587,1.52882,1.11443,1.3509,0.67469,0.57654,0.58332,0.23378,1.99251,1.7246,1.77964,0.0018416,0.0018416,0.0018416
26,187.304,1.44427,1.01014,1.27831,0.64408,0.50592,0.48895,0.20828,2.05413,1.38123,1.85087,0.001835,0.001835,0.001835
27,194.031,1.47261,1.00927,1.29615,0.66607,0.55662,0.53649,0.27011,1.70637,1.23951,1.60531,0.0018284,0.0018284,0.0018284
28,200.781,1.42573,1.03464,1.28946,0.48431,0.45241,0.39207,0.17118,2.14762,1.3488,1.9553,0.0018218,0.0018218,0.0018218
29,207.518,1.44451,1.0614,1.30181,0.52454,0.61152,0.53236,0.1767,2.21256,1.42503,1.98152,0.0018152,0.0018152,0.0018152
