epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.472,2.5426,5.14528,2.24006,0.00092,0.2402,0.00134,0.00048,2.41014,3.612,2.0135,0.08614,0.00014,0.00014
2,24.1193,2.0126,2.92871,1.75766,0.00092,0.2402,0.00134,0.00048,2.63675,4.22365,2.0357,0.0712871,0.000287129,0.000287129
3,32.03,1.87641,2.13364,1.67921,0.11111,0.0049,0.0597,0.01194,2.39284,4.443,1.86909,0.0564313,0.000431288,0.000431288
4,39.4136,1.77808,1.8177,1.51443,0.06491,0.33007,0.21585,0.07548,2.13791,3.47832,1.81495,0.0415725,0.000572477,0.000572477
5,46.3181,1.72776,1.67986,1.48413,0.11914,0.40217,0.23412,0.09578,2.1672,3.42931,1.90954,0.0267107,0.000710696,0.000710696
6,53.195,1.69553,1.60126,1.45532,0.33878,0.45915,0.37988,0.17588,2.03636,2.56174,1.77852,0.0118459,0.000845945,0.000845945
7,59.9432,1.67423,1.47621,1.44095,0.75398,0.29384,0.37562,0.21506,1.81071,2.21885,1.66075,0.0009406,0.0009406,0.0009406
8,66.8276,1.63896,1.39997,1.43898,0.74649,0.34146,0.42857,0.1851,2.1404,1.74587,1.96119,0.0009307,0.0009307,0.0009307
9,73.6581,1.6151,1.33756,1.42253,0.66815,0.54677,0.54829,0.2559,1.91807,1.42862,1.82955,0.0009208,0.0009208,0.0009208
10,80.5102,1.6512,1.35213,1.44846,0.45465,0.49537,0.46695,0.17988,2.07126,1.86801,1.89607,0.0009109,0.0009109,0.0009109
11,87.2576,1.55967,1.23829,1.36935,0.50411,0.5049,0.52555,0.23701,1.94927,1.50043,1.76592,0.000901,0.000901,0.000901
12,94.0316,1.5767,1.39383,1.37848,0.66827,0.62375,0.61141,0.3319,1.75015,1.22339,1.61635,0.0008911,0.0008911,0.0008911
13,100.706,1.51622,1.16082,1.36268,0.61988,0.5349,0.51976,0.28997,1.78436,1.37248,1.60314,0.0008812,0.0008812,0.0008812
14,107.468,1.44422,1.1101,1.31785,0.84695,0.46814,0.51814,0.24324,1.79699,1.42176,1.66128,0.0008713,0.0008713,0.0008713
15,114.192,1.44756,1.11018,1.30809,0.4829,0.58466,0.57103,0.28496,1.80197,1.37161,1.67452,0.0008614,0.0008614,0.0008614
16,121.002,1.4504,1.03937,1.32232,0.59089,0.58433,0.57922,0.24947,1.91635,1.56865,1.75724,0.0008515,0.0008515,0.0008515
17,127.738,1.49617,1.12305,1.32623,0.76847,0.48476,0.48475,0.17807,2.23983,1.47392,2.01492,0.0008416,0.0008416,0.0008416
18,134.628,1.46256,1.07338,1.31822,0.70011,0.60731,0.59266,0.30064,1.74294,1.13513,1.5771,0.0008317,0.0008317,0.0008317
19,141.338,1.42211,0.98041,1.2831,0.64578,0.56983,0.60117,0.32075,1.69833,1.17083,1.55564,0.0008218,0.0008218,0.0008218
20,148.166,1.35728,0.95884,1.25759,0.86197,0.54465,0.61976,0.32703,1.68314,1.06037,1.56092,0.0008119,0.0008119,0.0008119
21,154.926,1.38894,0.99598,1.26601,0.77972,0.59687,0.62646,0.33891,1.60972,1.14555,1.51472,0.000802,0.000802,0.000802
22,161.696,1.36055,0.94988,1.24936,0.64023,0.6072,0.60528,0.35176,1.63933,1.06663,1.51498,0.0007921,0.0007921,0.0007921
23,168.368,1.33916,0.9237,1.2182,0.64113,0.61352,0.63214,0.33293,1.6333,1.14197,1.5339,0.0007822,0.0007822,0.0007822
24,175.081,1.36855,0.95557,1.24919,0.57287,0.62275,0.57235,0.29868,1.62582,1.07048,1.53491,0.0007723,0.0007723,0.0007723
25,181.779,1.4424,0.94882,1.28596,0.65329,0.6054,0.61099,0.32374,1.69259,1.13623,1.56519,0.0007624,0.0007624,0.0007624
26,188.546,1.38104,0.91713,1.24299,0.6333,0.61377,0.60325,0.33487,1.63842,1.03967,1.5137,0.0007525,0.0007525,0.0007525
27,195.213,1.35106,0.90165,1.22803,0.70589,0.60859,0.57436,0.30727,1.65702,1.17013,1.55488,0.0007426,0.0007426,0.0007426
28,202.002,1.31339,0.91213,1.22806,0.86999,0.52478,0.58454,0.31141,1.63933,1.11062,1.50425,0.0007327,0.0007327,0.0007327
29,208.772,1.28501,0.86554,1.21141,0.6519,0.67341,0.64697,0.29446,1.80641,1.10767,1.66324,0.0007228,0.0007228,0.0007228
30,215.533,1.3698,0.88312,1.237,0.5841,0.56985,0.56813,0.28974,1.70279,1.11067,1.58655,0.0007129,0.0007129,0.0007129
31,222.284,1.30273,0.87623,1.20942,0.51331,0.47467,0.49895,0.26833,1.70763,1.27737,1.59994,0.000703,0.000703,0.000703
32,229.037,1.25763,0.84346,1.19108,0.65831,0.52531,0.55713,0.27539,1.78146,1.42131,1.6355,0.0006931,0.0006931,0.0006931
33,235.721,1.27328,0.81909,1.17007,0.68086,0.6165,0.62792,0.29532,1.88662,1.20283,1.78154,0.0006832,0.0006832,0.0006832
34,242.482,1.26795,0.80315,1.15135,0.70468,0.54193,0.58684,0.27926,1.84084,1.28651,1.71659,0.0006733,0.0006733,0.0006733
35,249.174,1.2417,0.79317,1.20426,0.57446,0.66187,0.58084,0.31342,1.60448,1.06976,1.51394,0.0006634,0.0006634,0.0006634
36,255.996,1.2709,0.79294,1.1939,0.62834,0.65908,0.62704,0.35098,1.60724,0.98271,1.50408,0.0006535,0.0006535,0.0006535
37,262.714,1.2593,0.78214,1.17415,0.75301,0.59212,0.62346,0.35969,1.67577,1.03708,1.54538,0.0006436,0.0006436,0.0006436
38,269.482,1.22934,0.78858,1.16156,0.63754,0.67303,0.62298,0.29842,1.78579,1.02564,1.69919,0.0006337,0.0006337,0.0006337
39,276.211,1.2043,0.76401,1.13556,0.65753,0.62969,0.62267,0.32724,1.65773,1.00084,1.53746,0.0006238,0.0006238,0.0006238
40,283.452,1.17804,0.76271,1.13589,0.63438,0.6064,0.62317,0.34598,1.63257,1.07009,1.54091,0.0006139,0.0006139,0.0006139
41,290.517,1.18172,0.73829,1.13613,0.6637,0.6033,0.62685,0.33981,1.62352,0.95296,1.54792,0.000604,0.000604,0.000604
42,297.682,1.22796,0.79001,1.15314,0.51798,0.57353,0.56438,0.32388,1.55725,1.02037,1.48288,0.0005941,0.0005941,0.0005941
43,304.516,1.17428,0.77881,1.15604,0.58227,0.59089,0.58912,0.35123,1.54616,1.0546,1.4682,0.0005842,0.0005842,0.0005842
44,311.423,1.21287,0.75202,1.13278,0.70733,0.60631,0.61116,0.2727,1.92747,1.08996,1.80792,0.0005743,0.0005743,0.0005743
