epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5632,2.28087,3.446,2.202,0.00463,0.60922,0.05913,0.02203,1.90831,3.53089,2.11973,0.09224,0.00024,0.00024
2,19.4307,1.62341,2.63084,1.59489,0.00392,0.59374,0.05283,0.01771,2.27149,3.66556,2.95645,0.0835083,0.000508317,0.000508317
3,24.7562,1.55479,2.13253,1.52064,0.69086,0.08497,0.01544,0.00446,2.41544,5.60739,4.10946,0.0747749,0.000774852,0.000774852
4,30.2447,1.57785,1.94658,1.5546,0.71702,0.01961,0.01343,0.00236,2.90798,7.40091,7.57399,0.0660396,0.00103961,0.00103961
5,36.3582,1.56506,1.78909,1.54348,0.07383,0.08497,0.06974,0.02208,2.26498,3.34041,3.08326,0.0573026,0.00130258,0.00130258
6,41.9764,1.57129,1.71082,1.56042,0.46594,0.11111,0.08784,0.02621,2.36552,3.53689,3.20499,0.0485638,0.00156376,0.00156376
7,47.4965,1.56534,1.60441,1.55432,0.13239,0.18954,0.05929,0.0251,1.98427,3.27008,2.94876,0.0398232,0.00182317,0.00182317
8,53.065,1.5743,1.60847,1.55723,0.59885,0.04575,0.0269,0.00953,3.07828,4.56113,4.09717,0.0310808,0.0020808,0.0020808
9,58.54,1.56803,1.59902,1.55365,0.4706,0.08497,0.06057,0.02596,2.9083,3.70033,4.13971,0.0223366,0.00233664,0.00233664
10,64.2566,1.54239,1.51088,1.54327,0.17138,0.15686,0.09444,0.03575,2.93029,7.00535,4.44858,0.0135907,0.0025907,0.0025907
11,70.0066,1.56083,1.48198,1.54885,0.15871,0.0633,0.03919,0.01466,2.99752,6.59854,5.37544,0.00484298,0.00284298,0.00284298
12,75.3398,1.55035,1.51166,1.55724,0.10996,0.10939,0.04763,0.01222,3.24055,9.40392,5.9741,0.0028911,0.0028911,0.0028911
13,80.6708,1.51497,1.45475,1.52683,0.39957,0.07018,0.0281,0.01066,3.02094,6.05048,4.73647,0.0028812,0.0028812,0.0028812
14,86.367,1.52353,1.4314,1.53252,0.07297,0.07843,0.03415,0.01021,2.65572,5.33975,3.69053,0.0028713,0.0028713,0.0028713
15,91.6612,1.49108,1.42995,1.50042,0.37653,0.31889,0.29764,0.12907,2.53852,8.83485,3.6159,0.0028614,0.0028614,0.0028614
16,97.0077,1.52809,1.42848,1.52349,0.35261,0.2291,0.15531,0.06966,2.37635,8.32949,3.13268,0.0028515,0.0028515,0.0028515
17,102.439,1.49818,1.40291,1.50064,0.30408,0.3322,0.13311,0.06004,2.14142,8.62175,2.66742,0.0028416,0.0028416,0.0028416
18,107.663,1.45909,1.35681,1.49532,0.22425,0.30697,0.18208,0.05761,2.49199,7.53859,3.29069,0.0028317,0.0028317,0.0028317
19,113.016,1.46299,1.34181,1.48184,0.30155,0.29893,0.25009,0.1099,1.99242,8.64855,2.46716,0.0028218,0.0028218,0.0028218
20,118.265,1.43079,1.32094,1.47353,0.3805,0.41537,0.3192,0.12879,2.03128,5.7414,2.61555,0.0028119,0.0028119,0.0028119
21,123.691,1.41813,1.27156,1.45535,0.13568,0.15686,0.05131,0.01775,2.46949,7.95394,3.20191,0.002802,0.002802,0.002802
22,128.965,1.41327,1.24936,1.45223,0.52298,0.49859,0.46804,0.17854,2.24623,3.99169,2.84057,0.0027921,0.0027921,0.0027921
23,134.239,1.37379,1.24374,1.4418,0.53027,0.64828,0.57858,0.27329,1.81029,2.3248,2.05874,0.0027822,0.0027822,0.0027822
24,139.583,1.40543,1.26368,1.46045,0.70631,0.34747,0.38041,0.19697,2.28195,2.88932,2.59192,0.0027723,0.0027723,0.0027723
25,144.822,1.37532,1.23802,1.43226,0.53253,0.62711,0.54696,0.26751,1.91976,2.38444,2.07754,0.0027624,0.0027624,0.0027624
26,150.074,1.38801,1.25653,1.44739,0.61766,0.6139,0.61249,0.28289,1.94976,2.0068,2.17673,0.0027525,0.0027525,0.0027525
27,155.427,1.35084,1.16701,1.39733,0.58229,0.09804,0.06145,0.02452,2.5345,4.93798,2.9138,0.0027426,0.0027426,0.0027426
28,160.66,1.33307,1.173,1.381,0.62076,0.50237,0.55623,0.24604,1.9538,2.23359,2.10146,0.0027327,0.0027327,0.0027327
29,165.905,1.36664,1.20331,1.41065,0.6507,0.66433,0.70133,0.40424,1.50358,1.91546,1.63433,0.0027228,0.0027228,0.0027228
30,171.169,1.38685,1.17274,1.42897,0.74076,0.69351,0.75854,0.40723,1.62528,1.87686,1.85725,0.0027129,0.0027129,0.0027129
31,176.396,1.36379,1.16754,1.42819,0.62964,0.65824,0.67396,0.36245,1.67931,1.55137,1.97893,0.002703,0.002703,0.002703
32,181.626,1.34662,1.18981,1.41895,0.60968,0.5903,0.60757,0.30275,1.78747,2.72033,2.0618,0.0026931,0.0026931,0.0026931
33,186.969,1.34109,1.14732,1.40932,0.71072,0.53457,0.63389,0.32072,1.85046,2.06512,2.05614,0.0026832,0.0026832,0.0026832
34,192.188,1.30451,1.12951,1.40036,0.6063,0.48916,0.53459,0.25473,2.01947,2.25143,2.25821,0.0026733,0.0026733,0.0026733
