epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7701,2.59669,4.9799,2.31791,0.00515,0.27451,0.11834,0.04116,2.13431,3.7202,1.66644,0.08254,0.00054,0.00054
2,23.7042,2.04139,2.56131,1.85193,0.19298,0.10784,0.14372,0.04611,2.24849,4.1182,2.02611,0.0641063,0.00110634,0.00110634
3,30.9328,1.94736,2.09275,1.72306,0.01224,0.375,0.09133,0.03677,2.62052,3.43446,2.55494,0.0456689,0.00166891,0.00166891
4,39.5126,1.84679,1.92436,1.62996,0.13951,0.19608,0.02697,0.0143,2.39663,inf,2.75251,0.0272277,0.00222772,0.00222772
5,46.5684,1.83462,1.85047,1.63579,0.02334,0.22753,0.02933,0.01247,2.5546,177.507,2.66643,0.00878278,0.00278278,0.00278278
6,53.4039,1.79254,1.71001,1.5801,0.31621,0.34109,0.19796,0.08491,2.06723,3.57862,2.08164,0.0029505,0.0029505,0.0029505
7,60.2453,1.74315,1.63117,1.57546,0.69637,0.38914,0.34898,0.16714,1.86758,2.96541,1.87614,0.0029406,0.0029406,0.0029406
8,67.6295,1.7473,1.58177,1.53793,0.28868,0.2402,0.24553,0.13128,1.98409,2.63494,2.00912,0.0029307,0.0029307,0.0029307
9,76.2559,1.67426,1.44902,1.50182,0.32391,0.1359,0.14274,0.04811,2.33906,3.26849,2.21812,0.0029208,0.0029208,0.0029208
10,83.9446,1.67183,1.43406,1.47189,0.14962,0.26246,0.12818,0.05585,2.18992,3.33347,2.0365,0.0029109,0.0029109,0.0029109
11,91.8775,1.71385,1.51287,1.46647,0.41594,0.46181,0.46285,0.20615,1.89242,1.96195,1.74185,0.002901,0.002901,0.002901
12,100.003,1.64572,1.33784,1.46896,0.40291,0.44725,0.43421,0.20362,1.99621,2.76239,1.82576,0.0028911,0.0028911,0.0028911
13,107.519,1.66811,1.36007,1.47198,0.53122,0.49094,0.47748,0.21312,1.80405,2.12205,1.6859,0.0028812,0.0028812,0.0028812
