epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6504,2.5871,4.89027,2.29821,0.00504,0.28431,0.03422,0.01259,2.59189,3.81868,2.24412,0.0829,0.0009,0.0009
2,24.4833,2.11136,2.49119,1.8818,0.3348,0.0098,0.00094,0.00037,2.68433,7.87708,6.70932,0.0648463,0.00184634,0.00184634
3,32.87,2.02112,2.16011,1.74998,0.00411,0.23121,0.00785,0.00213,2.60454,4.02885,2.74281,0.0467889,0.00278891,0.00278891
4,41.2086,1.94038,1.98166,1.68098,0.5,0.01389,0.01788,0.00547,3.05879,inf,6.80264,0.0287277,0.00372772,0.00372772
5,51.2794,1.978,1.97889,1.71598,0.0004,0.06209,0.00023,8e-05,nan,nan,nan,0.0106628,0.00466278,0.00466278
6,59.6429,1.89511,1.86976,1.64354,0.01687,0.15768,0.0101,0.00697,3.32444,40.0588,5.37314,0.0049505,0.0049505,0.0049505
7,67.188,1.84912,1.74633,1.6056,0.04329,0.24755,0.0383,0.01626,2.92942,35.3787,3.29807,0.0049406,0.0049406,0.0049406
8,74.6073,1.89644,1.72291,1.60269,0.27729,0.49632,0.26184,0.11607,2.31973,21.9762,2.49381,0.0049307,0.0049307,0.0049307
9,82.2047,1.77438,1.6154,1.56653,0.45465,0.3957,0.27145,0.13968,2.01761,5.24083,1.89098,0.0049208,0.0049208,0.0049208
10,89.789,1.7581,1.59529,1.54378,0.2897,0.43975,0.31521,0.16499,2.2489,13.212,2.20904,0.0049109,0.0049109,0.0049109
11,97.2266,1.80628,1.67157,1.55065,0.32845,0.452,0.27081,0.1267,2.0769,8.26319,2.0308,0.004901,0.004901,0.004901
12,104.663,1.7291,1.48708,1.53157,0.28264,0.4232,0.35292,0.15191,2.06294,3.95042,1.88106,0.0048911,0.0048911,0.0048911
13,112.293,1.72985,1.46264,1.49586,0.24267,0.32741,0.09888,0.02993,2.18902,7.803,1.97545,0.0048812,0.0048812,0.0048812
14,119.446,1.72809,1.45052,1.51433,0.56812,0.43056,0.35021,0.1575,1.91141,4.48378,1.78826,0.0048713,0.0048713,0.0048713
15,126.462,1.72537,1.40306,1.47681,0.49748,0.50147,0.44934,0.2421,1.75722,2.24613,1.65738,0.0048614,0.0048614,0.0048614
16,133.573,1.69906,1.37952,1.46475,0.59304,0.51698,0.51615,0.28248,1.69796,1.68734,1.60429,0.0048515,0.0048515,0.0048515
17,140.601,1.63408,1.34673,1.4444,0.42767,0.47813,0.41716,0.1814,2.172,2.55155,2.01243,0.0048416,0.0048416,0.0048416
18,147.587,1.666,1.33222,1.43892,0.3932,0.35469,0.32524,0.14801,2.23528,2.52091,2.11402,0.0048317,0.0048317,0.0048317
19,154.473,1.59184,1.23436,1.37292,0.64156,0.44812,0.48902,0.24734,1.96987,1.64857,1.78604,0.0048218,0.0048218,0.0048218
20,161.35,1.62278,1.28098,1.42254,0.76208,0.52524,0.51889,0.2547,1.80664,1.91453,1.68808,0.0048119,0.0048119,0.0048119
21,168.407,1.64419,1.32805,1.43246,0.56172,0.46076,0.4822,0.2656,1.76833,2.32506,1.66943,0.004802,0.004802,0.004802
22,175.38,1.58889,1.23727,1.4021,0.54782,0.4761,0.51365,0.25813,1.82206,1.82587,1.66439,0.0047921,0.0047921,0.0047921
23,182.318,1.56146,1.20316,1.37308,0.76568,0.4396,0.47051,0.19906,2.13393,1.72102,1.84747,0.0047822,0.0047822,0.0047822
24,189.228,1.57404,1.24126,1.34567,0.51895,0.60378,0.4924,0.24927,1.89547,2.92986,1.76564,0.0047723,0.0047723,0.0047723
25,196.113,1.55319,1.19727,1.36132,0.49518,0.52428,0.55736,0.26769,1.96416,1.38488,1.79306,0.0047624,0.0047624,0.0047624
26,203.085,1.57114,1.23396,1.37223,0.6273,0.5435,0.52948,0.26168,1.82506,1.32971,1.6561,0.0047525,0.0047525,0.0047525
27,210.108,1.56141,1.18277,1.35713,0.58534,0.55453,0.5511,0.30325,1.63708,1.38407,1.51848,0.0047426,0.0047426,0.0047426
28,217.021,1.57639,1.24174,1.40519,0.87669,0.48775,0.56253,0.29425,1.75706,1.49642,1.60949,0.0047327,0.0047327,0.0047327
29,224.032,1.52389,1.15946,1.3431,0.75567,0.52308,0.57516,0.2912,1.82831,1.39491,1.63737,0.0047228,0.0047228,0.0047228
30,231.072,1.53056,1.14645,1.34472,0.4573,0.49509,0.48382,0.24401,1.87374,1.75709,1.73141,0.0047129,0.0047129,0.0047129
