epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,212.077,1.1549,0.93751,1.26548,0.82185,0.60409,0.71863,0.42472,1.52868,1.40126,1.65275,0.00079705,0.00079705,0.00079705
43,217.116,1.09976,0.84918,1.22862,0.71766,0.61793,0.69721,0.36771,1.69822,1.54193,1.7263,0.0007921,0.0007921,0.0007921
44,221.919,1.12341,0.86856,1.26197,0.70833,0.59908,0.66148,0.32984,1.76923,1.56829,1.75774,0.00078715,0.00078715,0.00078715
45,226.698,1.13452,0.86635,1.26816,0.68503,0.83908,0.81458,0.43976,1.70675,1.26452,1.79879,0.0007822,0.0007822,0.0007822
46,231.4,1.05974,0.84148,1.24824,0.77139,0.52491,0.71852,0.42312,1.45672,1.4899,1.51484,0.00077725,0.00077725,0.00077725
47,236.097,1.08983,0.83528,1.24361,0.65116,0.82364,0.81379,0.49563,1.41446,1.22958,1.49139,0.0007723,0.0007723,0.0007723
48,240.829,1.11623,0.86292,1.25532,0.77354,0.69242,0.7446,0.4057,1.63207,1.24967,1.68604,0.00076735,0.00076735,0.00076735
49,245.59,1.10118,0.82115,1.25605,0.78412,0.70902,0.79331,0.48283,1.4057,1.10804,1.48619,0.0007624,0.0007624,0.0007624
50,250.3,1.09918,0.84673,1.25359,0.73635,0.74118,0.75644,0.44696,1.42654,1.21575,1.49113,0.00075745,0.00075745,0.00075745
51,255.117,1.05971,0.80203,1.20797,0.71684,0.68357,0.73354,0.44604,1.45833,1.18455,1.50689,0.0007525,0.0007525,0.0007525
52,259.796,1.06637,0.82823,1.22428,0.68168,0.64082,0.6238,0.35014,1.55941,1.64604,1.63264,0.00074755,0.00074755,0.00074755
53,264.523,1.09191,0.82988,1.23022,0.5838,0.60028,0.59738,0.32095,1.72351,1.79713,1.77128,0.0007426,0.0007426,0.0007426
54,269.236,1.09282,0.83822,1.2422,0.80937,0.69453,0.7529,0.4397,1.48501,1.29743,1.58365,0.00073765,0.00073765,0.00073765
55,273.919,1.07692,0.81325,1.24835,0.80767,0.57328,0.74905,0.45366,1.37795,1.38976,1.45195,0.0007327,0.0007327,0.0007327
56,278.634,1.09516,0.82356,1.24578,0.76043,0.65623,0.72264,0.43346,1.44888,1.40072,1.52645,0.00072775,0.00072775,0.00072775
57,283.369,1.08487,0.80635,1.23441,0.75298,0.70547,0.76747,0.41121,1.68941,1.20357,1.76363,0.0007228,0.0007228,0.0007228
58,288.163,1.06638,0.7823,1.2204,0.80381,0.75956,0.8248,0.49431,1.5298,1.03862,1.64526,0.00071785,0.00071785,0.00071785
59,292.883,1.01965,0.75171,1.20151,0.88378,0.75179,0.83958,0.51067,1.39508,1.03382,1.46794,0.0007129,0.0007129,0.0007129
60,297.704,1.02117,0.74521,1.18962,0.7479,0.74574,0.77723,0.47253,1.40218,1.19925,1.45955,0.00070795,0.00070795,0.00070795
61,302.428,1.02664,0.75939,1.21739,0.74565,0.77206,0.84054,0.51453,1.39793,1.08901,1.48455,0.000703,0.000703,0.000703
62,307.134,1.02864,0.76145,1.19642,0.75292,0.75941,0.82407,0.51342,1.33852,1.24586,1.4329,0.00069805,0.00069805,0.00069805
63,311.853,1.04086,0.76009,1.20417,0.74574,0.73055,0.76581,0.46384,1.36886,1.24412,1.47672,0.0006931,0.0006931,0.0006931
64,316.597,1.00791,0.73085,1.19365,0.82343,0.80638,0.83076,0.53492,1.31083,0.96798,1.40699,0.00068815,0.00068815,0.00068815
65,321.32,1.04204,0.76427,1.20095,0.79864,0.8363,0.85918,0.49485,1.53802,0.97245,1.59772,0.0006832,0.0006832,0.0006832
66,325.974,0.99629,0.73171,1.19037,0.74659,0.84136,0.85512,0.50901,1.41726,0.99464,1.48353,0.00067825,0.00067825,0.00067825
67,330.71,0.98193,0.7503,1.16673,0.75825,0.81951,0.84362,0.52075,1.38838,0.96647,1.4729,0.0006733,0.0006733,0.0006733
68,335.399,0.9585,0.73243,1.16646,0.81879,0.74475,0.81875,0.45889,1.64968,1.10917,1.67986,0.00066835,0.00066835,0.00066835
69,340.107,0.92182,0.69138,1.15515,0.8122,0.74509,0.79704,0.44699,1.58673,1.10337,1.62123,0.0006634,0.0006634,0.0006634
70,344.892,0.96929,0.71221,1.19247,0.82792,0.76484,0.81602,0.50206,1.4735,1.02295,1.53101,0.00065845,0.00065845,0.00065845
71,349.629,1.00795,0.74813,1.20912,0.80942,0.75095,0.84645,0.53266,1.38721,1.02452,1.49748,0.0006535,0.0006535,0.0006535
72,354.332,0.97467,0.71575,1.16715,0.8245,0.67386,0.83726,0.53073,1.37637,1.10976,1.49509,0.00064855,0.00064855,0.00064855
73,359.093,0.98345,0.69067,1.17658,0.70057,0.69525,0.78778,0.45357,1.58189,1.31317,1.62588,0.0006436,0.0006436,0.0006436
74,363.823,0.95893,0.70556,1.16945,0.64862,0.73697,0.72645,0.45231,1.39397,1.39082,1.52583,0.00063865,0.00063865,0.00063865
75,368.575,0.96005,0.68582,1.16332,0.73499,0.69983,0.75779,0.48729,1.37546,1.26514,1.47458,0.0006337,0.0006337,0.0006337
76,373.266,0.94488,0.68794,1.15687,0.79127,0.74518,0.84375,0.51186,1.34533,1.04816,1.43304,0.00062875,0.00062875,0.00062875
77,377.982,0.94696,0.68446,1.15239,0.84929,0.79752,0.86414,0.52775,1.36428,0.97048,1.4644,0.0006238,0.0006238,0.0006238
78,382.687,0.95178,0.71376,1.1721,0.76343,0.75404,0.81312,0.48948,1.50656,1.06083,1.57932,0.00061885,0.00061885,0.00061885
79,387.641,0.95749,0.69632,1.1517,0.81295,0.72621,0.79843,0.46361,1.52282,1.12552,1.57847,0.0006139,0.0006139,0.0006139
